NAME,DATE,AWND,PRCP,TMAX,TMIN
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-07-2016,6.04,0,89,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-07-2016,8.5,0.61,88,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-07-2016,5.59,0.28,91,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-07-2016,4.92,0.49,91,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-07-2016,8.95,0.11,94,71
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-07-2016,4.03,0,87,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-07-2016,1.79,0,89,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-07-2016,4.03,0.33,79,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-07-2016,2.46,0,84,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-07-2016,3.58,0.81,77,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",31-07-2016,3.58,0,85,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-08-2016,4.25,0.24,86,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-08-2016,2.91,0,87,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-08-2016,6.04,0,86,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-08-2016,6.71,0,84,71
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-08-2016,8.05,0,85,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-08-2016,7.16,0.01,83,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-08-2016,3.36,0,84,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-08-2016,5.14,0,84,66
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-08-2016,6.71,0,89,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-08-2016,7.38,0.22,90,74
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-08-2016,7.16,0,91,73
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-08-2016,6.93,0.07,91,77
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-08-2016,8.28,0.2,91,75
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-08-2016,6.93,0.47,83,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-08-2016,3.13,0.47,80,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-08-2016,10.96,0.75,88,72
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-08-2016,6.26,0.33,75,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-08-2016,7.16,0,83,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-08-2016,5.82,0,84,64
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-08-2016,7.83,0.1,86,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-08-2016,8.05,0.08,77,65
